number, total, ave, median, min, max
Relaxed : [1817, 163299.06827587818, 89.87290493994396, 100.0, 2.98507462686567, 100.0]
Hungry : [527, 34600.836068077064, 65.65623542329614, 64.6341463414634, 4.26829268292683, 100.0]
Sleepy : [791, 52222.884926061466, 66.02134630349111, 65.9278138731624, 3.49854227405248, 100.0]
Creative : [809, 56602.54907262369, 69.96606807493657, 70.6775700934579, 2.85714285714286, 100.0]
Energetic : [691, 52707.033681041066, 76.27645974101456, 80.5369127516779, 3.57142857142857, 100.0]
Aroused : [252, 16882.053116449533, 66.99227427162513, 66.6666666666667, 3.33333333333333, 100.0]
Uplifted : [1583, 112945.91994111057, 71.34928612830737, 75.1918158567775, 3.57142857142857, 100.0]
Happy : [1981, 159149.4670113133, 80.337943973404, 88.8888888888889, 5.12820512820513, 100.0]
Tingly : [372, 23768.800707554914, 63.894625557943314, 63.42109620798145, 2.85714285714286, 100.0]
Euphoric : [1750, 128831.61599526007, 73.61806628300576, 77.7777777777778, 2.85714285714286, 100.0]
Giggly : [320, 21933.402463720064, 68.5418826991252, 71.39710509754559, 4.25531914893617, 100.0]
Talkative : [366, 25689.14300703193, 70.18891531975937, 71.10754414125199, 6.12244897959184, 100.0]
Focused : [637, 45769.417482912795, 71.85151881148005, 75.542700752628, 4.54545454545455, 100.0]
