form of name: number of strains with feeling, total count of feeling, min value, max value, ave count of feeling
Relaxed : [1817, 163299.06827587823, 2.98507462686567, 100.0, 89.872904939944]
Hungry : [527, 34600.83606807707, 4.26829268292683, 100.0, 65.65623542329615]
Sleepy : [791, 52222.88492606146, 3.49854227405248, 100.0, 66.0213463034911]
Creative : [809, 56602.54907262368, 2.85714285714286, 100.0, 69.96606807493657]
Energetic : [691, 52707.033681041044, 3.57142857142857, 100.0, 76.27645974101453]
Aroused : [252, 16882.05311644953, 3.33333333333333, 100.0, 66.99227427162512]
Uplifted : [1583, 112945.9199411106, 3.57142857142857, 100.0, 71.34928612830738]
Happy : [1981, 159149.46701131333, 5.12820512820513, 100.0, 80.33794397340401]
Tingly : [372, 23768.800707554932, 2.85714285714286, 100.0, 63.894625557943364]
Euphoric : [1750, 128831.61599526016, 2.85714285714286, 100.0, 73.6180662830058]
Giggly : [320, 21933.402463720056, 4.25531914893617, 100.0, 68.54188269912518]
Talkative : [366, 25689.14300703193, 6.12244897959184, 100.0, 70.18891531975937]
Focused : [637, 45769.417482912824, 4.54545454545455, 100.0, 71.8515188114801]
