form of name: number of strains with feeling, total count of feeling, ave count of feeling
Relaxed : [1817, 163299.06827587823, 89.872904939944]
Hungry : [527, 34600.83606807707, 65.65623542329615]
Sleepy : [791, 52222.88492606146, 66.0213463034911]
Creative : [809, 56602.54907262368, 69.96606807493657]
Energetic : [691, 52707.033681041044, 76.27645974101453]
Aroused : [252, 16882.05311644953, 66.99227427162512]
Uplifted : [1583, 112945.9199411106, 71.34928612830738]
Happy : [1981, 159149.46701131333, 80.33794397340401]
Tingly : [372, 23768.800707554932, 63.894625557943364]
Euphoric : [1750, 128831.61599526016, 73.6180662830058]
Giggly : [320, 21933.402463720056, 68.54188269912518]
Talkative : [366, 25689.14300703193, 70.18891531975937]
Focused : [637, 45769.417482912824, 71.8515188114801]
